geographic_area,city,median_income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic
MN,Oakdale city,67036,6.2,94.3,81.4,6,0.4,8.2,4.3
MN,Oak Grove city,87431,3.6,92.6,95.8,0.5,0.3,1.9,1.2
MN,Oak Park Heights city,49750,10,94.9,89.8,4.5,1.6,2,3
MN,Odessa city,55625,11.3,91.4,100,0,0,0,3
MN,Odin city,46429,0.9,100,96.2,0,0,3.8,2.8
MN,Ogema city,35000,30.8,88.7,38.6,0,46.2,0,3.3
MN,Ogilvie city,26111,46.6,80.4,98.9,0,0.3,0,0.3
MN,Okabena city,42083,16.5,92.2,92.6,1.1,1.1,0.5,4.8
MN,Oklee city,37500,15.8,87.9,88.3,0,9,0.2,0.7
MN,Olivia city,49125,13.3,90.9,93.9,1,0.4,0.2,8.3
MN,Onamia city,29583,25.7,83.5,83,2.3,9.9,0.7,1.7
MN,Ormsby city,42917,18.6,94.3,91.6,0,7.6,0,1.5
MN,Orono city,116292,4.1,99.2,96.5,0.4,0.2,1.1,1.7
MN,Oronoco city,116750,3,97.7,95.2,0.2,0.2,3,0.5
MN,Orr city,37500,30.1,96.5,80.9,0,18.4,0,0
MN,Ortonville city,39971,19,88.5,97,0.3,0.6,0.1,1
MN,Osage CDP,45000,10.5,92.3,96.6,0,3.4,0,1.2
MN,Osakis city,39464,16.2,92.6,98.3,0.3,0.2,0.3,0.7
MN,Oslo city,53750,6.2,88.1,83.3,0,1.8,0.3,20.3
MN,Osseo city,46125,7.4,94.6,90.3,4.2,0.5,1.4,3.6
MN,Ostrander city,38750,12.4,87,98,0,0,0,0.8
MN,Otsego city,79117,3.5,92.7,93.2,1.8,0.4,1.8,2.4
MN,Ottertail city,49861,8,94.8,99,0,0.2,0,0.9
MN,Owatonna city,55884,11.2,92.2,91.2,3.8,0.3,0.9,7.3
MN,Palisade city,32750,6.1,87.1,92.2,0.6,6.6,0,0.6
MN,Parkers Prairie city,40000,16.1,85.4,99.2,0.4,0.1,0,0.4
MN,Park Rapids city,33822,15.6,90.9,94.1,0.4,2.3,0.1,3.7
MN,Paynesville city,42059,11.7,83,97,0.5,0.1,0.4,2.2
MN,Pease city,46250,19.6,88.1,97.9,0,0,0.8,1.7
MN,Pelican Rapids city,40246,23,71,74.1,5.8,0.9,3.2,31.5
MN,Pemberton city,55417,19.3,92.7,98,0,0,0.4,3.2
MN,Pennock city,41964,13.2,87.1,91.5,0,0,1.4,16.9
MN,Pequot Lakes city,42639,15,92.2,97.3,0.4,0.8,0.6,1.1
MN,Perham city,52708,10.1,87.8,94.1,1.1,0.5,0.5,4.8
MN,Perley city,65000,0,58.6,93.5,0,1.1,0,7.6
MN,Peterson city,51250,7.9,90.5,99.5,0,0.5,0,1
MN,Pierz city,37898,14.4,84.6,98.6,0,0.1,0.2,0.6
MN,Pillager city,37917,11.1,86.4,96.8,0.2,1.3,0,1.3
MN,Pine Bend CDP,(X),42.1,33.3,17.9,0,75,0,0
MN,Pine City city,32302,22.9,85.5,95.6,0.3,1.5,0.7,1.2
MN,Pine Island city,63194,17.2,93.3,96.6,0.9,0.1,0.8,1.7
MN,Pine Point CDP,23750,57,86,3.8,0,95,0,1.2
MN,Pine River city,25329,32.5,80.5,96.5,0.1,1.2,0.4,1.5
MN,Pine Springs city,115000,0.7,100,89.5,3.2,0,4.7,2.9
MN,Pipestone city,40233,19.6,84.3,90.2,0.9,1.9,1.1,5.2
MN,Plainview city,55226,8.2,96.6,94.9,0.2,0.1,0.3,7.8
MN,Plato city,64861,5.8,93.2,98.1,0,0.3,0.6,0.9
MN,Plummer city,41875,12.6,95.3,96.2,0,1.7,0,3.1
MN,Plymouth city,85418,5.8,97.3,84.2,5.2,0.3,6.9,3
MN,Ponemah CDP,15380,78.8,71.6,0.6,0.3,98.8,0,0.4
MN,Porter city,57500,10.4,89.9,99.5,0,0,0.5,1.1
MN,Preston city,43150,14.1,93.4,98.3,0.2,0.2,0.2,0.6
MN,Princeton city,37304,12.5,88.5,96.5,0.4,0.7,0.3,1.7
MN,Prinsburg city,61719,8.1,90.4,97.4,1.2,0,0.4,1.2
MN,Prior Lake city,96405,7,95.6,91,1.5,1.6,3,2.1
MN,Proctor city,54871,9.1,94.2,96.8,0.2,1.1,0.4,1.2
MN,Quamba city,27321,35.1,82.1,99.2,0,0.8,0,2.4
MN,Racine city,60833,10.5,94.4,98.9,0.2,0,0,1.4
MN,Ramsey city,86794,3.2,96.4,91.8,2.8,0.4,2.4,2.4
MN,Randall city,39485,14.7,89.1,97.2,0.6,0.2,0,1.1
MN,Randolph city,67321,8.3,92.9,98.4,0,0,0.2,1.8
MN,Ranier city,49583,3.2,96.7,98.6,0,0,0.7,1.4
MN,Raymond city,41071,15.5,92.8,97.1,0.4,0.1,0,4.7
MN,Redby CDP,36053,43.4,82.1,1.4,0,97.2,0.2,1.7
MN,Red Lake CDP,32650,37.6,74.3,1,0.2,97.7,0,1
MN,Red Lake Falls city,47000,12.7,92.8,96.1,0.4,0.5,0,4.1
MN,Red Wing city,45890,13.6,92.4,91.5,1.9,2.2,0.8,3.7
MN,Redwood Falls city,43063,11.8,87.7,87.8,0.6,6.6,0.7,3.3
MN,Regal city,59375,11.1,100,100,0,0,0,0
MN,Remer city,24091,35.3,83.3,96.8,0,1.9,0,1.6
MN,Renville city,51719,9.6,83.9,96.8,0.1,0.2,0.3,18.2
MN,Revere city,28125,20,79.7,91.6,4.2,3.2,1.1,3.2
MN,Rice city,70000,3.6,95,97.3,0.2,0.2,0.1,0.7
MN,Rice Lake CDP,20938,41.5,64.6,11.5,0,84.3,0,4.7
MN,Richfield city,52954,12.9,88.7,69.8,9.2,0.8,6.1,18.3
MN,Richmond city,50606,9.8,86.3,98,0.1,0,0.6,1.8
MN,Richville city,38750,15.1,88.9,96.9,0,1,0,1
MN,Riverland CDP,27917,53.2,84.4,4.3,0.7,90.6,0,4.3
MN,Riverton city,39063,14.8,88.2,98.3,0,1.7,0,0.9
MN,Robbinsdale city,57357,12.8,92.2,76.5,13.8,0.5,3.3,4.6
MN,Rochester city,64554,10.3,93.5,82,6.3,0.3,6.8,5.2
MN,Rock Creek city,57727,10.2,92.1,97,0.4,0.7,0.6,1.1
MN,Rockford city,72419,12.8,93.6,94.1,1,0.5,1.3,1.9
MN,Rockville city,70594,10.1,91.4,91.9,0.3,0.2,0.2,9.3
MN,Rogers city,103980,2.1,97.9,91.3,2.4,0.1,3.5,1.9
MN,Rollingstone city,62917,4.7,98,98.6,0,0.3,0.9,0.8
MN,Ronneby CDP,58125,9.4,88.5,100,0,0,0,0
MN,Roosevelt city,37500,1.5,83.5,97.4,0,2,0,1.3
MN,Roscoe city,70469,4.5,90.1,100,0,0,0,0
MN,Roseau city,50409,14.9,90.6,97.6,0.3,0.6,0.4,1.1
MN,Rose Creek city,46500,6.7,91.1,97.2,0,0.3,0,2
MN,Rosemount city,90448,3.9,95.8,87.3,3,0.4,5.6,3.1
MN,Roseville city,63678,11.5,93.4,81.3,6.2,0.5,7.3,4.6
MN,Rothsay city,44545,8.7,92.1,98.8,0,0.8,0.4,0.2
MN,Round Lake city,31667,17.8,90.4,99.5,0.3,0,0,3.2
MN,Royalton city,47841,16.9,88.4,99,0,0,0.4,0.9
MN,Roy Lake CDP,(X),46.7,80,75,0,25,0,0
MN,Rush City city,42629,8.7,86.9,80.5,13.2,4,1.3,2.5
MN,Rushford city,40568,14.9,93.4,98.7,0,0.1,0.3,0.8
MN,Rushford Village city,73750,2.1,93.6,99,0.1,0,0.1,0.6
MN,Rushmore city,40536,20.9,82.8,90.6,0.9,0,3.8,9.6
MN,Russell city,54792,12.7,93.1,98.5,1.2,0.3,0,0.6
MN,Ruthton city,39375,12.5,79,99.2,0,0,0,0.8
MN,Rutledge city,38125,18,85.2,96.9,1.3,0.9,0,0.4
MN,Sabin city,73125,4.5,96.8,97.7,0,0.2,0,2.5
MN,Sacred Heart city,35694,13.5,87.5,98.5,0.2,0.9,0,9.1
MN,St. Anthony city (Hennepin and Ramsey Counties),60742,6.1,96,85.1,5,0.6,5.9,2.9
MN,St. Anthony city (Stearns County),65000,15.1,94.1,98.8,0,0,0,1.2
MN,St. Augusta city,75536,2.2,95.1,97.4,0.5,0.1,0.7,0.6
MN,St. Bonifacius city,82891,5.3,94.2,94.2,1.9,0.1,1.8,3.2
MN,St. Charles city,54651,13.9,92.1,91.8,0.6,0.3,2.5,8.8
MN,St. Clair city,70500,11,97.5,97.1,1.2,0.1,0,3.1
MN,St. Cloud city,45437,23.3,91.4,84.6,7.8,0.7,3.7,2.4
MN,St. Francis city,71833,7.8,94,95.9,0.6,0.4,0.8,1.4
MN,St. Hilaire city,45833,20.5,81.2,97.8,0,1.1,0,1.4
MN,St. James city,43995,12.7,80.6,81.8,0.7,0.9,0.6,31
MN,St. Joseph city,51265,29.8,95.7,93.7,1.1,0.2,2.4,1.9
MN,St. Leo city,38750,8.8,88,98,0,0,0,5
MN,St. Louis Park city,66432,8.1,95.8,83.3,7.5,0.5,3.8,4.3
MN,St. Martin city,63021,10.7,89,98.1,0,0,0,3.2
MN,St. Marys Point city,75208,7.1,98,98.6,0,0.3,0.5,0.3
MN,St. Michael city,92546,2.3,96.5,93.3,1.9,0.2,2.4,1.9
MN,St. Paul city,48757,22.3,86.5,60.1,15.7,1.1,15,9.6
MN,St. Paul Park city,59470,10,90.9,88.5,3.3,0.5,3.7,6.3
