,threat_level
767,attack
768,other
769,attack
770,attack
771,attack
772,attack
773,attack
774,undetermined
776,attack
779,attack
780,attack
781,attack
783,attack
784,other
785,attack
786,other
787,attack
788,attack
789,other
790,attack
791,attack
792,attack
794,attack
795,attack
796,attack
797,attack
798,attack
799,attack
800,undetermined
801,attack
802,undetermined
804,other
805,attack
806,attack
807,attack
808,attack
809,other
810,other
811,attack
812,attack
813,other
814,undetermined
815,other
816,attack
818,attack
819,attack
820,attack
821,attack
822,other
823,attack
824,attack
825,other
826,attack
827,other
828,attack
829,attack
830,attack
831,attack
833,attack
834,attack
835,attack
836,other
837,attack
838,attack
841,attack
842,attack
843,attack
846,other
847,attack
848,attack
849,attack
850,other
851,attack
852,attack
853,attack
854,attack
855,other
856,other
857,attack
858,attack
859,attack
860,attack
861,attack
862,attack
863,attack
864,attack
865,other
866,attack
867,other
868,other
869,attack
870,other
871,attack
872,other
873,other
874,undetermined
875,attack
876,attack
877,other
878,attack
880,attack
882,attack
883,attack
884,attack
885,attack
886,attack
889,attack
890,attack
891,attack
892,attack
893,attack
894,undetermined
895,other
896,attack
898,undetermined
899,attack
900,attack
901,attack
902,attack
903,other
904,attack
905,other
906,attack
907,undetermined
909,attack
910,attack
911,other
912,attack
913,attack
915,other
916,attack
917,attack
918,attack
919,other
920,attack
921,attack
922,attack
923,attack
924,undetermined
925,attack
927,attack
928,other
929,attack
930,undetermined
931,attack
932,undetermined
933,attack
934,attack
935,attack
936,other
937,attack
938,attack
939,other
940,undetermined
941,attack
942,other
943,other
945,other
946,attack
947,other
948,other
950,attack
951,attack
952,other
953,other
954,attack
955,attack
956,attack
957,other
958,attack
959,attack
961,attack
962,attack
963,attack
964,attack
965,attack
966,other
967,other
968,attack
969,attack
970,other
971,other
972,attack
973,other
974,attack
975,attack
976,attack
977,other
978,attack
979,attack
980,other
981,other
982,attack
983,attack
984,attack
985,attack
986,attack
987,other
988,attack
989,attack
990,attack
991,attack
992,attack
993,attack
994,undetermined
995,other
996,attack
997,attack
998,attack
999,attack
1000,attack
1001,attack
1002,undetermined
1003,attack
1004,other
1005,attack
1006,other
1007,attack
1008,attack
1009,attack
1010,attack
1011,other
1012,undetermined
1014,attack
1015,attack
1016,attack
1017,other
1018,attack
1019,other
1020,attack
1021,attack
1022,attack
1023,attack
1024,attack
1025,attack
1027,attack
1028,attack
1029,attack
1030,attack
1031,attack
1032,attack
1034,other
1035,attack
1036,attack
1037,other
1039,attack
1040,attack
1041,attack
1042,attack
1043,undetermined
1044,attack
1045,attack
1046,other
1047,attack
1049,other
1050,attack
1051,other
1052,undetermined
1053,attack
1054,attack
1055,undetermined
1056,attack
1057,attack
1058,attack
1059,attack
1060,attack
1061,attack
1063,other
1065,attack
1066,other
1067,attack
1069,other
1071,attack
1072,attack
1073,attack
1074,attack
1075,attack
1076,other
1077,attack
1078,attack
1079,attack
1080,attack
1082,attack
1083,attack
1084,attack
1085,attack
1086,other
1087,attack
1089,attack
1090,other
1091,other
1092,other
1093,attack
1094,other
1095,attack
1096,attack
1097,attack
1098,attack
1099,attack
1100,other
1101,other
1102,other
1103,other
1104,attack
1106,other
1107,attack
1108,attack
1109,attack
1110,other
1111,attack
1112,attack
1113,attack
1114,other
1115,other
1116,attack
1117,other
1118,other
1119,other
1120,other
1121,attack
1122,attack
1123,other
1124,other
1125,other
1126,attack
1127,other
1128,attack
1129,attack
1130,attack
1131,attack
1132,other
1133,attack
1134,attack
1135,other
1136,attack
1137,other
1138,other
1139,attack
1140,attack
1141,attack
1142,other
1143,attack
1144,attack
1145,attack
1146,attack
1147,attack
1148,attack
1149,attack
1150,attack
1151,other
1152,other
1153,other
1154,attack
1155,attack
1156,attack
1157,attack
1158,attack
1159,attack
1160,other
1161,attack
1162,attack
1163,other
1164,attack
1165,attack
1167,attack
1168,attack
1169,attack
1170,attack
1171,attack
1172,attack
1173,attack
1174,other
1175,undetermined
1176,attack
1177,other
1178,other
1179,attack
1180,other
1181,attack
1182,other
1183,attack
1184,attack
1185,attack
1186,undetermined
1187,attack
1188,undetermined
1189,attack
1190,attack
1191,attack
1193,attack
1194,attack
1195,attack
1196,attack
1197,attack
1198,attack
1199,other
1200,attack
1201,attack
1202,other
1203,other
1204,attack
1205,other
1206,attack
1207,undetermined
1208,attack
1209,attack
1210,attack
1211,other
1212,attack
1213,attack
1214,attack
1215,undetermined
1216,undetermined
1217,attack
1218,attack
1219,attack
1220,attack
1221,attack
1222,attack
1223,attack
1224,attack
1226,attack
1227,other
1228,attack
1229,attack
1230,other
1231,attack
1232,attack
1234,attack
1236,attack
1237,attack
1238,other
1239,attack
1240,other
1241,other
1242,attack
1243,attack
1244,other
1245,other
1246,attack
1247,attack
1249,attack
1250,other
1251,attack
1252,attack
1253,undetermined
1254,attack
1255,attack
1257,attack
1258,attack
1259,attack
1260,attack
1261,attack
1262,attack
1263,attack
1264,attack
1265,attack
1266,attack
1267,attack
1268,attack
1269,attack
1271,attack
1272,attack
1273,attack
1274,attack
1275,other
1276,attack
1277,attack
1278,attack
1279,attack
1280,attack
1281,other
1282,attack
1283,attack
1284,attack
1285,other
1286,attack
1287,attack
1289,other
1290,attack
1291,other
1292,attack
1293,attack
1294,attack
1296,attack
1297,undetermined
1298,attack
1299,other
1300,attack
1301,attack
1302,attack
1303,attack
1304,other
1305,other
1306,attack
1307,other
1309,attack
1310,attack
1311,attack
1312,attack
1313,attack
1314,attack
1315,other
1316,attack
1317,attack
1318,other
1319,attack
1320,attack
1321,attack
1322,other
1323,attack
1324,attack
1325,attack
1326,attack
1328,other
1329,attack
1333,attack
1334,attack
1336,attack
