,Median Income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic,Level
94,29963,34.2,87.4,97.5,0.5,0.2,0.3,0.3,0
95,29964,29.5,78.9,40.1,56.2,1.1,0.7,1.9,0
96,29974,30.1,80.5,43,51.3,0.2,0.9,5.7,0
97,30000,15.7,80.8,97.1,0.8,0.1,0,0.8,0
98,30086,31.1,79.5,62.8,3,26.6,0.3,2.7,0
99,30217,23.7,81.9,94,3.1,0.1,0.6,2,0
100,30218,26.5,77.3,56.4,42.2,0.1,0.1,1.1,0
101,30273,38.1,75.1,48.2,48.5,0.1,1.6,1.8,0
102,30303,35.9,63.6,31.1,56.3,0.2,0.5,34.2,0
103,30304,29.1,77.5,78.6,8.5,0.5,6.9,9.5,0
104,30392,27.3,82.2,76.9,18,0.4,0.9,6.6,0
105,30407,30.7,82.5,49.7,43.7,0.3,0.6,8.5,0
106,30443,27.7,82.1,75.7,2,8.2,0.7,22.4,0
107,30487,37.1,84.8,43.8,54.1,0.1,0.7,0.9,0
108,30507,19,79.3,97.4,0.2,0.4,0.4,2.2,0
109,30517,29.3,83.1,59.2,31.3,0.5,1.1,11.3,0
110,30662,23,62.3,91.1,2.2,0.2,0,9.1,0
111,30678,36.7,82.3,42.1,55.7,0.3,0.3,0.8,0
112,30697,14.3,88.8,88.2,0.1,5.5,0.4,2,0
113,30720,24.5,86.5,80.4,14.6,0.2,0.5,1.8,0
114,30743,27.4,74.3,78.1,15.9,0.3,0.4,4.2,0
115,30744,26.9,73.3,68.3,14.1,0.5,0.7,20.3,0
116,30750,29.8,70.1,77.7,21.3,0,0,0,0
117,30781,30,83.2,65.5,7,18.8,0.6,2.5,0
118,30799,33,95.2,79.5,4.7,3.9,5.6,4.3,0
119,30800,28,75.1,66.9,19.5,1.5,0,10.9,0
120,30804,34.3,84.3,53.8,2.4,30,1.3,9.8,0
121,30846,28.9,77,77.2,6.7,0.5,0.9,19.7,0
122,30856,31.6,76.6,90.7,6.3,0.3,0.8,1.1,0
123,30960,33.5,80.5,43.7,41.7,0.5,3.1,16.4,0
124,30968,31.2,80.6,37.4,60,0.2,0.7,1.4,0
125,30992,29.7,72.1,19.4,77.5,0.3,0.3,3,0
126,31009,27.3,80.7,90,3.4,1.2,0.5,13.2,0
127,31010,29.1,87.3,84.2,1.4,1.5,0.5,36.2,0
128,31044,32.2,86.4,84,10.9,0.3,1.2,2.3,1
129,31051,28.3,73.2,72.6,19.2,0.3,1,70,2
130,31061,30.9,85.1,22.3,73.4,0.2,1,3.6,1
131,31063,22.8,77,78.4,12.7,0.4,0.9,9,0
132,31112,21.8,88.5,71.1,0.7,5.3,1,51.9,0
133,31172,43.7,75,3.4,0.2,95,0.1,4.9,0
134,31178,27.5,76.4,94.9,1.7,0.2,0.6,2.4,0
135,31226,21.6,79.5,58.9,14.6,19,0.4,3.3,0
136,31333,25,69.4,74.2,20.4,1.2,0.5,3.2,0
137,31460,23.9,80.7,85.3,5.2,0.5,0.7,9,0
138,31465,25.8,78,41.6,52,0.2,0.9,6.3,0
139,31576,26.3,79.1,60.4,35.3,1,0.8,1.8,0
140,31577,29.9,82.3,64.1,33.6,0.2,0.1,1.9,0
141,31667,29.6,75.3,71.9,0.6,2.6,1.1,42.7,0
142,31684,20.9,68.8,91.4,6.4,0.2,0.2,1.8,0
143,31684,22.9,81.1,49,47.9,0.1,0.2,3.1,0
144,31708,29.7,78.7,92.4,5.1,0.4,0.2,1.2,0
145,31750,21.4,82.8,79.2,15.3,0,0.2,4.8,0
146,31817,27.4,84.4,83.5,10.9,0.4,1.4,3.1,0
147,31818,35.6,92.1,64.9,23,0.3,6.9,10,0
148,31875,23,77.2,87.3,8.3,0.6,0.4,2.1,0
149,31881,34.8,80.2,56,29.5,1.1,5.5,8.3,0
150,31918,31.4,82.7,50.4,38.6,0.8,3.2,10.5,0
151,31957,24.5,83.7,84.6,0.6,11.1,0.1,2.1,0
152,31979,24.3,88.3,95.5,0.1,0.7,0.8,2.9,0
153,31997,29.2,81.5,48.9,40.5,1.2,1.1,9.2,0
154,32025,25.6,84.1,67.4,23.4,1.5,0.9,8.2,0
155,32060,26.5,66.3,65,12.2,0.8,0.5,59.9,0
156,32066,29,82.4,75.2,18.1,0.3,0.8,3,0
157,32129,21.1,83.7,89.5,4.1,0.5,1.4,10,0
158,32148,26.2,82.6,73.3,22.1,0.2,0.7,1.9,0
159,32182,34.3,68.1,88.1,8,0.3,0.4,2.8,0
160,32188,31.6,84,53.1,40.1,0.6,0.9,9.2,0
161,32292,15.8,80,71.7,10.7,1.1,0.9,15.1,0
162,32324,24.1,90.8,28.3,66.6,0.4,1,1.8,0
163,32326,13.6,83.9,96.2,1.3,0.5,0.3,3.2,0
164,32357,30,85.2,58.5,28.8,0.5,1.8,16.8,0
165,32536,24.6,85,83.3,0.7,4.3,2.6,10.8,0
166,32602,24.1,83.5,65.4,8.5,14.4,0.4,2.9,0
167,32722,36.6,44.4,17.2,0.3,6.6,1.3,84.2,0
168,32728,28.4,80.1,54.8,34.5,0.3,1.9,10.9,0
169,32788,21.7,87.6,85.7,6.5,0.4,1.5,16.9,0
170,32845,25.3,81.5,51,44.6,0.5,0.6,4.3,0
171,32863,27.3,71.9,36.1,40.7,0.7,5.9,29.6,0
172,32894,33.7,64.1,88,0.4,0.4,0.7,93.2,0
173,32915,29.1,71.4,34.7,31.7,1.1,3.3,57.6,0
174,33095,30.3,80.4,72.8,5.1,11.8,0.2,4.2,0
175,33139,29.7,72.3,26.3,52.4,0.6,1.6,33.8,1
176,33147,29,79.2,59.2,21.5,0.6,1.8,29.6,0
177,33250,33.2,74.8,90.9,5,1,0.7,3.5,0
178,33289,31.8,79.9,30.7,52.4,0.5,3.5,18,0
179,33349,17,75,47.2,48.4,0.1,0.5,4.9,0
180,33359,30.2,72.1,80.7,1.5,3.9,2.1,54,0
181,33407,29.8,82.5,66.6,30.2,0.4,0.5,2.3,0
182,33450,30.5,75.9,81.5,8.9,0.2,3,7.3,0
183,33557,25.7,88.3,88.7,4.1,0.8,1.9,3.7,1
184,33571,27.2,89.6,98,0,2,0,0,0
185,33604,30.5,85.8,49.3,44.8,0.3,1.8,2.8,1
186,33687,27.8,85.2,64.8,27.2,0.4,1.1,7.4,0
187,33750,19.2,85.2,97.2,0.3,0,0.2,0.5,0
188,33764,24.2,81.6,88.8,4,0.7,1.2,8.7,0
189,33780,22.8,81.4,89,0.3,2,0.9,7.4,0
190,33843,30.6,83,85.2,0.8,2.1,1.6,11.3,0
191,33917,23.6,85.2,94.6,0.4,1.9,0.1,3.6,0
192,33950,14.2,91.2,92.5,0.3,1.3,1,5.4,0
193,33989,26,79.5,67.7,6.4,1.6,3,35.8,1
194,34028,31.7,72.1,89.7,0.5,0.8,0.2,19.1,0
195,34055,28.7,78.3,58.4,31.9,0.4,1.4,10.8,0
196,34090,34.1,93.7,89.7,4.1,0.1,3.4,2.6,1
197,34158,29.5,85.6,8,80,0.3,6.8,6,0
198,34167,24,80.1,94.2,0.2,0.7,0.2,9.3,0
199,34201,22,75.9,78.3,13.7,0.2,0.7,7.8,0
200,34211,30.1,79.6,53.4,5.7,25.7,1,32.8,0
201,34216,22.1,85.8,73.7,18.7,0.2,1.4,31.8,0
202,34225,22.1,88.1,95.1,0.5,1.4,0.4,2.7,0
203,34226,25.7,87.8,76.1,17.1,0.4,1.6,4.6,1
204,34257,28.3,71,26.6,52,0.7,1.2,33.7,0
205,34300,29,85.1,54.7,41.3,0.4,0.8,3.1,0
206,34387,24.5,84.6,68.9,1.3,17.1,0.5,4.8,0
207,34388,16.9,79.9,93.6,1.8,0.7,0.1,5,0
208,34433,25.8,83.1,12.7,81,0.2,0.7,6.7,0
209,34435,32.5,91.6,56.3,37,0.4,2.4,3.8,0
210,34512,26.5,86.3,62.2,31.5,0.2,2.1,2.1,1
